IPU-0017190,300,04/06/2021 02:24:02 PM
IPU-0017747,300,04/07/2021 06:43:53 AM
IPU-0017470,300,04/07/2021 06:43:53 AM
IPU-0017136,300,04/07/2021 06:43:53 AM
IPU-0016684,300,04/07/2021 06:43:53 AM
IPU-0016313,300,04/07/2021 06:43:53 AM
IPU-0015309,300,04/07/2021 06:43:53 AM
IPU-0015307,300,04/07/2021 06:43:53 AM
IPU-0014603,300,04/07/2021 06:43:53 AM
IPU-0014339,300,04/07/2021 06:43:53 AM
IPU-0011594,300,04/07/2021 06:43:53 AM
IPU-0010124,300,04/07/2021 06:43:53 AM
IPU-0010040,300,04/07/2021 06:43:53 AM
IPU-0010613,30,04/07/2021 11:02:41 AM
IPU-0013235,30,04/07/2021 11:02:41 AM
IPU-0011607,30,04/07/2021 11:02:41 AM
IPU-0010290,30,04/07/2021 11:02:41 AM
IPU-0015400,30,04/07/2021 11:02:41 AM
IPU-0015445,30,04/07/2021 11:02:41 AM
IPU-0011092,30,04/07/2021 11:02:41 AM
IPU-0015063,30,04/07/2021 11:02:41 AM
IPU-0012530,30,04/07/2021 11:02:41 AM
IPU-0013991,30,04/07/2021 11:02:41 AM
IPU-0010878,30,04/07/2021 11:02:41 AM
IPU-0013075,30,04/07/2021 11:03:12 AM
IPU-0015156,300,04/08/2021 07:01:16 AM
IPU-0015203,300,04/08/2021 07:01:16 AM
IPU-0015192,300,04/08/2021 07:01:16 AM
IPU-0015314,30,04/08/2021 10:33:46 AM
IPU-0015314,300,04/08/2021 10:35:42 AM
IPU-0012567,15,04/08/2021 10:50:32 AM
IPU-0013792,15,04/08/2021 10:50:32 AM
IPU-0011838,30,04/08/2021 12:09:16 PM
IPU-0016262,30,04/08/2021 12:20:05 PM
IPU-0017900,300,04/09/2021 07:24:52 AM
IPU-0016783,300,04/09/2021 07:24:52 AM
IPU-0012105,300,04/09/2021 07:24:52 AM
IPU-0012106,300,04/09/2021 07:24:52 AM
IPU-0012127,300,04/09/2021 07:24:52 AM
IPU-0012129,300,04/09/2021 07:24:52 AM
IPU-0012092,300,04/09/2021 07:24:52 AM
IPU-0016697,300,04/09/2021 07:25:46 AM
IPU-0010061,300,04/09/2021 07:25:46 AM
IPU-0013782,300,04/09/2021 07:25:46 AM
IPU-0010053,300,04/09/2021 07:25:46 AM
IPU-0010057,300,04/09/2021 07:25:46 AM
IPU-0013784,300,04/09/2021 07:25:46 AM
IPU-0016674,300,04/09/2021 07:25:46 AM
IPU-0013694,300,04/09/2021 07:25:46 AM
IPU-0016712,300,04/09/2021 07:25:46 AM
IPU-0008747,300,04/09/2021 07:25:46 AM
IPU-0013697,300,04/09/2021 07:25:46 AM
IPU-0008735,300,04/09/2021 07:25:46 AM
IPU-0013689,300,04/09/2021 07:25:46 AM
IPU-0012482,300,04/09/2021 07:25:46 AM
IPU-0008654,300,04/09/2021 07:25:46 AM
IPU-0013691,300,04/09/2021 07:25:46 AM
IPU-0008765,300,04/09/2021 07:25:46 AM
IPU-0010012,300,04/09/2021 07:25:46 AM
IPU-0013718,300,04/09/2021 07:25:46 AM
IPU-0012458,300,04/09/2021 07:25:46 AM
IPU-0012460,300,04/09/2021 07:25:46 AM
IPU-0016695,300,04/09/2021 07:25:46 AM
IPU-0013711,300,04/09/2021 07:25:46 AM
IPU-0012469,300,04/09/2021 07:25:46 AM
IPU-0013712,300,04/09/2021 07:25:46 AM
IPU-0010933,30,04/12/2021 08:27:42 AM
IPU-0010960,300,04/12/2021 09:55:15 AM
IPU-0013654,300,04/12/2021 09:55:15 AM
IPU-0015267,300,04/12/2021 09:55:15 AM
IPU-0011752,300,04/12/2021 09:55:15 AM
IPU-0014460,300,04/12/2021 09:55:15 AM
IPU-0011759,300,04/12/2021 09:55:15 AM
IPU-0016918,300,04/12/2021 09:55:15 AM
IPU-0015392,300,04/12/2021 09:55:15 AM
IPU-0011850,300,04/12/2021 09:55:15 AM
IPU-0014901,300,04/12/2021 09:55:15 AM
IPU-0010884,300,04/12/2021 09:55:15 AM
IPU-0012041,300,04/12/2021 09:55:15 AM
IPU-0010209,300,04/12/2021 09:55:15 AM
IPU-0013713,300,04/12/2021 09:55:15 AM
IPU-0011712,300,04/12/2021 09:55:15 AM
IPU-0011731,300,04/12/2021 09:55:15 AM
IPU-0013720,300,04/12/2021 09:55:15 AM
IPU-0014851,300,04/12/2021 09:55:15 AM
IPU-0016205,300,04/12/2021 09:55:15 AM
IPU-0014638,300,04/12/2021 09:55:15 AM
IPU-0017058,300,04/12/2021 09:55:15 AM
IPU-0014834,300,04/12/2021 09:55:15 AM
